Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
B73	2017	2	33	MLA	68.04816667	4	3	1	8	2017_Loc2
B73	2017	2	33	TUELA	79.82483333	2	3	1	8	2017_Loc2
B73	2017	2	33	ULA	82.2065	1	3	1	8	2017_Loc2
PHW30	2017	2	24	FUELA	80.90366667	3	3	3	8	2017_Loc2
PHW30	2017	2	24	MLA	76.18033333	4	3	3	8	2017_Loc2
PHW30	2017	2	24	TUELA	82.16933333	2	3	3	8	2017_Loc2
PHW30	2017	2	24	ULA	77.102	1	3	3	8	2017_Loc2
Mo17	2017	2	21	FUELA	61.15716667	3	3	2	8	2017_Loc2
Mo17	2017	2	21	MLA	56.066	4	3	2	8	2017_Loc2
Mo17	2017	2	21	TUELA	54.72283333	2	3	2	8	2017_Loc2
Mo17	2017	2	21	ULA	52.2235	1	3	2	8	2017_Loc2
Mo17	2017	2	6	FUELA	61.571	3	3	2	9	2017_Loc2
Mo17	2017	2	6	MLA	55.261	4	3	2	9	2017_Loc2
Mo17	2017	2	6	TUELA	61.19433333	2	3	2	9	2017_Loc2
Mo17	2017	2	6	ULA	54.30366667	1	3	2	9	2017_Loc2
PHW30	2017	2	7	FUELA	83.7865	3	3	3	9	2017_Loc2
PHW30	2017	2	7	MLA	76.08533333	4	3	3	9	2017_Loc2
PHW30	2017	2	7	TUELA	81.82183333	2	3	3	9	2017_Loc2
PHW30	2017	2	7	ULA	78.00516667	1	3	3	9	2017_Loc2
B73	2017	2	9	FUELA	76.7425	3	3	1	9	2017_Loc2
B73	2017	2	9	MLA	67.15216667	4	3	1	9	2017_Loc2
B73	2017	2	9	TUELA	77.14183333	2	3	1	9	2017_Loc2
B73	2017	2	9	ULA	79.58416667	1	3	1	9	2017_Loc2
B73	2017	2	32	FUELA	72.6355	3	3	1	10	2017_Loc2
B73	2017	2	32	MLA	67.63933333	4	3	1	10	2017_Loc2
B73	2017	2	32	TUELA	78.65016667	2	3	1	10	2017_Loc2
B73	2017	2	32	ULA	79.4695	1	3	1	10	2017_Loc2
Mo17	2017	2	16	FUELA	62.02966667	3	3	2	10	2017_Loc2
Mo17	2017	2	16	MLA	51.37766667	4	3	2	10	2017_Loc2
Mo17	2017	2	16	TUELA	59.677	2	3	2	10	2017_Loc2
Mo17	2017	2	16	ULA	50.38216667	1	3	2	10	2017_Loc2
PHW30	2017	2	13	FUELA	79.33166667	3	3	3	10	2017_Loc2
PHW30	2017	2	13	MLA	75.935	4	3	3	10	2017_Loc2
PHW30	2017	2	13	TUELA	79.4195	2	3	3	10	2017_Loc2
PHW30	2017	2	13	ULA	77.3755	1	3	3	10	2017_Loc2
B73	2017	2	7	FUELA	77.20783333	3	3	1	11	2017_Loc2
B73	2017	2	7	MLA	69.6255	4	3	1	11	2017_Loc2
B73	2017	2	7	TUELA	77.9865	2	3	1	11	2017_Loc2
B73	2017	2	7	ULA	78.016	1	3	1	11	2017_Loc2
PHW30	2017	2	13	FUELA	82.0525	3	3	3	11	2017_Loc2
PHW30	2017	2	13	MLA	76.0465	4	3	3	11	2017_Loc2
PHW30	2017	2	13	TUELA	82.3715	2	3	3	11	2017_Loc2
PHW30	2017	2	13	ULA	77.15166667	1	3	3	11	2017_Loc2
Mo17	2017	2	23	FUELA	62.46266667	3	3	2	11	2017_Loc2
Mo17	2017	2	23	MLA	56.67183333	4	3	2	11	2017_Loc2
Mo17	2017	2	23	TUELA	55.92766667	2	3	2	11	2017_Loc2
Mo17	2017	2	23	ULA	51.36483333	1	3	2	11	2017_Loc2
Mo17	2018	1	24	FUELA	64.62766666666667	3	3	2	1	2018_Loc1
Mo17	2018	1	24	MLA	63.76866666666666	4	3	2	1	2018_Loc1
Mo17	2018	1	24	TUELA	68.19566666666667	2	3	2	1	2018_Loc1
Mo17	2018	1	24	ULA	60.523	1	3	2	1	2018_Loc1
B73	2018	1	25	FUELA	71.34233333333333	3	3	1	1	2018_Loc1
B73	2018	1	25	MLA	63.364333333333335	4	3	1	1	2018_Loc1
B73	2018	1	25	TUELA	79.31933333333333	2	3	1	1	2018_Loc1
B73	2018	1	25	ULA	82.088	1	3	1	1	2018_Loc1
PHW30	2018	1	34	FUELA	77.00466666666667	3	3	3	1	2018_Loc1
PHW30	2018	1	34	MLA	73.92166666666667	4	3	3	1	2018_Loc1
PHW30	2018	1	34	TUELA	79.91266666666667	2	3	3	1	2018_Loc1
PHW30	2018	1	34	ULA	73.86233333333332	1	3	3	1	2018_Loc1
PHW30	2018	1	22	FUELA	80.05666666666667	3	3	3	2	2018_Loc1
